poi_id,feature_name,theme,sub_theme,project_category,project_relevance,include_in_mvp,latitude,longitude,valid_coordinate,duplicate_name_flag
POI0051,Melbourne Unitarian Church,Place of Worship,Church,other,low,False,-37.8114487773394,144.984664890999,True,False
POI0064,Melbourne Wholesale Fish Market,Warehouse/Store,Store Yard,other,low,False,-37.8083471006041,144.930613255612,True,False
POI0163,"Melbourne Wholesale Fruit, Vegetable & Flower Market",Mixed Use,Retail/Office/Carpark,other,low,False,-37.80687252157,144.923287444259,True,False
POI0168,Myer,Retail,Department Store,other,low,False,-37.8135911985281,144.963855087868,True,False
POI0111,New Quay Marina,Transport,Marina,other,low,False,-37.8152925454954,144.942283726231,True,False
POI0069,North Melbourne Football Club,Office,Office,other,low,False,-37.799771364073,144.940963510723,True,False
POI0070,North Melbourne Recreation Centre (Gymnasium),Leisure/Recreation,Gymnasium/Health Club,other,low,False,-37.7997051197931,144.940368286395,True,False
POI0171,North Melbourne Uniting,Place of Worship,Church,other,low,False,-37.8035538471344,144.947671538375,True,False
POI0041,Old Treasury Building,Office,Office,other,low,False,-37.8132371662585,144.974423610255,True,False
POI0052,Our Lady of Lebanon Church,Place of Worship,Church,other,low,False,-37.8025766539683,144.969334720932,True,False
POI0106,Parliament House,Office,Office,other,low,False,-37.811246655376,144.97372641185,True,False
POI0067,QV Village,Mixed Use,Retail/Office/Residential/Carpark,other,low,False,-37.8106891897454,144.965714574014,True,False
POI0038,Queen Victoria Market,Retail,Retail,other,low,False,-37.8075002018073,144.957158515056,True,False
POI0001,Railway Good Shed No 2,Vacant Land,Current Construction Site - Commercial,other,low,False,-37.8211371302179,144.951378883631,True,False
POI0034,Romanian Orthodox,Place of Worship,Church,other,low,False,-37.8052307297468,144.966986444597,True,False
POI0017,SBS (Special Broadcasting Service),Office,Office,other,low,False,-37.8176921210305,144.968740597156,True,False
POI0215,Scots Church,Place of Worship,Church,other,low,False,-37.8145687802664,144.96855105335,True,False
POI0216,South Yarra Presbyterian Church,Place of Worship,Church,other,low,False,-37.8407473645397,144.98562699348,True,False
POI0015,Southgate Arts and Leisure Precinct,Mixed Use,Retail/Office/Carpark,other,low,False,-37.8202245786597,144.965989052839,True,False
POI0053,St Alban Anglican Church,Place of Worship,Church,other,low,False,-37.7942169477929,144.94161451392,True,False
POI0050,St Augustines Church,Place of Worship,Church,other,low,False,-37.8169741358546,144.954862000132,True,False
POI0169,St Francis Church,Place of Worship,Church,other,low,False,-37.8118847831837,144.962422614541,True,False
POI0097,St James Church,Place of Worship,Church,other,low,False,-37.8101281201969,144.952468571683,True,False
POI0140,St Johns Lutheran Church,Place of Worship,Church,other,low,False,-37.8209399677168,144.967121099857,True,False
POI0025,St Mary's Anglican Church,Place of Worship,Church,other,low,False,-37.8031663672997,144.953761537074,True,False
POI0098,St Michael's Uniting Church,Place of Worship,Church,other,low,False,-37.8143851324913,144.969174036096,True,False
POI0035,St Michaels,Place of Worship,Church,other,low,False,-37.7940512679297,144.945399480629,True,False
POI0105,St Patricks Cathedral,Place of Worship,Church,other,low,False,-37.8101140950474,144.975901529712,True,False
POI0207,St Pauls Cathedral,Place of Worship,Church,other,low,False,-37.8169549012399,144.967681647402,True,False
POI0214,St Peter's Eastern Hill,Place of Worship,Church,other,low,False,-37.8097086714637,144.975259178609,True,False
POI0223,St Thomas Aquinas Church,Place of Worship,Church,other,low,False,-37.8353076902578,144.976809080472,True,False
POI0176,State Coroners Office,Office,Office,other,low,False,-37.8244982228756,144.964675254819,True,False
POI0174,The Mission To Seafarers Victoria,Specialist Residential Accommodation,Hostel,other,low,False,-37.8224995970811,144.951254841448,True,False
POI0037,The Parish of Christ Church South Yarra,Place of Worship,Church,other,low,False,-37.8386270533576,144.986009385387,True,False
POI0173,Treasury Reserve,Mixed Use,Retail/Office,other,low,False,-37.8129178793082,144.975236759799,True,False
POI0036,Ukranian Catholic Cathedral,Place of Worship,Church,other,low,False,-37.7963084580345,144.944313454028,True,False
POI0233,Victorian Insitute of Forensic Medicine,Office,Office,other,low,False,-37.8246924089335,144.964979061564,True,False
POI0153,Waterfront City,Mixed Use,Retail/Office,other,low,False,-37.815056661803,144.939136876334,True,False
POI0241,Webb Bridge,Transport,Bridge,other,low,False,-37.8232052384507,144.947291011905,True,False
POI0138,Welsh Presbyterian Church,Place of Worship,Church,other,low,False,-37.8104478768313,144.959873260087,True,False
POI0186,Wesley Church,Place of Worship,Church,other,low,False,-37.8101576446961,144.968168215633,True,False
POI0121,Athanaeum Theatre,Place Of Assembly,Theatre Live,arts_and_culture,medium,True,-37.814954347831,144.96732254212,True,False
POI0209,Australian Centre For The Moving Image (ACMI),Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.8176107327202,144.969070431323,True,False
POI0016,Australian Centre for Contemporary Art,Place Of Assembly,Art Gallery/Museum,arts_and_culture,medium,True,-37.8266045432686,144.967252924593,True,False
POI0160,Carlton Courthouse Theatre,Place Of Assembly,Theatre Live,arts_and_culture,medium,True,-37.7976589943217,144.968750113566,True,False
POI0237,Comedy Theatre,Place Of Assembly,Theatre Live,arts_and_culture,medium,True,-37.8102053945163,144.97013311862,True,False
